,time
0,0.01
1,0.022
2,0.0364
3,0.05368
4,0.074416
5,0.0992992
6,0.12915904
7,0.164990848
8,0.2079890176
9,0.25958682112
10,0.321504185344
11,0.3958050224128
12,0.48496602689536
13,0.59195923227443
14,0.72035107872932
15,0.87442129447518
16,1.0593055533702
17,1.2811666640443
18,1.5473999968531
19,1.8668799962237
20,2.2502559954685
21,2.7103071945622
22,3.2623686334746
23,3.9248423601695
24,4.7198108322034
25,5.6737729986441
26,6.818527598373
27,8.1922331180476
28,9.8406797416571
29,11.818815689988
30,14.192578827986
31,17.041094593583
32,20.4593135123
33,24.56117621476
34,29.483411457712
35,35.390093749255
36,42.478112499105
37,50.983734998927
38,61.190481998712
39,73.438578398454
40,88.136294078145
41,105.77355289377
42,126.93826347253
43,152.33591616703
44,182.81309940044
45,219.38571928053
46,263.27286313664
47,315.93743576396
48,379.13492291676
49,454.97190750011
50,500.0
